Ct,a
0.781176, 0.162729
0.781245, 0.162732
0.781311, 0.162734
0.781374, 0.162736
0.781435, 0.162738
0.781493, 0.162741
0.781549, 0.162743
0.781603, 0.162745
0.781654, 0.162747
0.781704, 0.162749
0.781751, 0.162752
0.781796, 0.162754
0.781840, 0.162756
0.781881, 0.162758
0.781921, 0.162759
0.781960, 0.162761
0.781996, 0.162763
0.782032, 0.162765
0.782065, 0.162767
0.782098, 0.162768
0.782129, 0.162770
0.782158, 0.162771
0.782187, 0.162773
0.782214, 0.162774
0.782241, 0.162776
0.782266, 0.162777
0.782290, 0.162779
